timestamp,experiment_name,model_type,optimizer,lr,batch_size,dropout,augmentation,initialization,accuracy,f1_macro,f1_per_class,train_time_sec,epochs_run,best_epoch,num_params,flops,gpu_mem_mb,device,seed,config_file,slurm_job_id
2026-04-03T22:41:29.152637,dataeff_xgboost_1k,xgboost,adamw,0.001,128,0.3,none,he,0.8079,0.80851,"[0.7658, 0.9563, 0.6966, 0.8242, 0.7136, 0.8962, 0.5412, 0.872, 0.9183, 0.9009]",7.67,100,-1,-1,-1,0.0,cpu,42,dataeff_xgboost_1k.yaml,11115400
2026-04-03T22:41:34.987377,dataeff_xgboost_5k,xgboost,adamw,0.001,128,0.3,none,he,0.8591,0.85844,"[0.8108, 0.9789, 0.7659, 0.8854, 0.772, 0.9403, 0.6323, 0.9151, 0.9497, 0.9339]",15.03,100,-1,-1,-1,0.0,cpu,42,dataeff_xgboost_5k.yaml,11115402
2026-04-03T22:42:01.519976,dataeff_xgboost_10k,xgboost,adamw,0.001,128,0.3,none,he,0.8743,0.87317,"[0.8185, 0.9827, 0.7905, 0.8974, 0.7939, 0.9617, 0.6503, 0.9309, 0.9597, 0.946]",24.73,100,-1,-1,-1,0.0,cpu,42,dataeff_xgboost_10k.yaml,11115399
2026-04-03T22:42:10.985151,dataeff_xgboost_50k,xgboost,adamw,0.001,128,0.3,none,he,0.891,0.89068,"[0.8426, 0.9887, 0.8272, 0.896, 0.839, 0.9612, 0.6955, 0.9432, 0.9659, 0.9475]",48.84,100,-1,-1,-1,0.0,cpu,42,dataeff_xgboost_50k.yaml,11115401
2026-04-03T22:42:28.244685,baseline_xgboost,xgboost,adamw,0.001,128,0.3,none,he,0.891,0.89068,"[0.8426, 0.9887, 0.8272, 0.896, 0.839, 0.9612, 0.6955, 0.9432, 0.9659, 0.9475]",49.45,100,-1,-1,-1,0.0,cpu,42,baseline_xgboost.yaml,11115390
2026-04-03T22:49:23.722701,ablation_augmentation_crop_flip,simple_cnn,adamw,0.001,128,0.3,crop_flip,he,0.905,0.90563,"[0.8571, 0.9907, 0.8498, 0.9026, 0.8475, 0.9712, 0.7387, 0.953, 0.9857, 0.96]",155.33,50,50,207018,1293312,50.1,NVIDIA A40,42,ablation_augmentation_crop_flip.yaml,11115365
2026-04-03T22:51:28.153427,ablation_augmentation_hflip,simple_cnn,adamw,0.001,128,0.3,hflip,he,0.9201,0.92039,"[0.8721, 0.9868, 0.8875, 0.9116, 0.8854, 0.9698, 0.7853, 0.957, 0.9832, 0.9653]",88.07,33,32,207018,1293312,50.1,NVIDIA A40,42,ablation_augmentation_hflip.yaml,11115366
2026-04-03T22:53:23.511000,ablation_augmentation_none,simple_cnn,adamw,0.001,128,0.3,none,he,0.9174,0.91744,"[0.8662, 0.9903, 0.881, 0.9154, 0.8838, 0.977, 0.7563, 0.9559, 0.9791, 0.9694]",71.56,28,23,207018,1293312,50.1,NVIDIA A40,42,ablation_augmentation_none.yaml,11115367
2026-04-03T22:55:07.941690,ablation_batch_size_128,simple_cnn,adamw,0.001,128,0.3,none,he,0.9174,0.91744,"[0.8662, 0.9903, 0.881, 0.9154, 0.8838, 0.977, 0.7563, 0.9559, 0.9791, 0.9694]",73.02,28,23,207018,1293312,50.1,NVIDIA A40,42,ablation_batch_size_128.yaml,11115368
2026-04-03T22:56:37.717470,ablation_batch_size_256,simple_cnn,adamw,0.001,256,0.3,none,he,0.9082,0.90772,"[0.8621, 0.9859, 0.8616, 0.9026, 0.8562, 0.9722, 0.7437, 0.9512, 0.9766, 0.965]",68.29,33,28,207018,1293312,79.4,NVIDIA A40,42,ablation_batch_size_256.yaml,11115369
2026-04-03T22:58:57.378876,ablation_batch_size_32,simple_cnn,adamw,0.001,32,0.3,none,he,0.9174,0.917,"[0.8707, 0.9898, 0.88, 0.907, 0.8736, 0.9784, 0.7635, 0.9554, 0.9872, 0.9645]",104.57,23,18,207018,1293312,45.7,NVIDIA A40,42,ablation_batch_size_32.yaml,11115370
2026-04-03T23:00:57.857248,ablation_batch_size_64,simple_cnn,adamw,0.001,64,0.3,none,he,0.9139,0.91441,"[0.8614, 0.9878, 0.8697, 0.9075, 0.8662, 0.9759, 0.7691, 0.9598, 0.9791, 0.9676]",76.41,23,18,207018,1293312,45.7,NVIDIA A40,42,ablation_batch_size_64.yaml,11115371
2026-04-03T23:02:09.440654,ablation_dropout_00,simple_cnn,adamw,0.001,128,0.0,none,he,0.9083,0.90821,"[0.8599, 0.9827, 0.8668, 0.8829, 0.877, 0.9725, 0.7549, 0.9446, 0.9791, 0.9617]",47.38,19,14,207018,1293312,50.1,NVIDIA A40,42,ablation_dropout_00.yaml,11115372
